Provincia [Nombre=A Coruña, Municipios=1 , CapitalProvincia=A Coruña ]
Provincia [Nombre=Alacant, Municipios=1 , CapitalProvincia=Alacant ]
Provincia [Nombre=Albacete, Municipios=1 , CapitalProvincia=Albacete ]
Provincia [Nombre=Almería, Municipios=1 , CapitalProvincia=Almería ]
Provincia [Nombre=Araba, Municipios=1 , CapitalProvincia=Araba ]
Provincia [Nombre=Asturias, Municipios=1 , CapitalProvincia=Asturias ]
Provincia [Nombre=Badajoz, Municipios=1 , CapitalProvincia=Badajoz ]
Provincia [Nombre=Barcelona, Municipios=1 , CapitalProvincia=Barcelona ]
Provincia [Nombre=Bizkaia, Municipios=1 , CapitalProvincia=Bizkaia ]
Provincia [Nombre=Burgos, Municipios=1 , CapitalProvincia=Burgos ]
Provincia [Nombre=Cantabria, Municipios=1 , CapitalProvincia=Cantabria ]
Provincia [Nombre=Castelló, Municipios=1 , CapitalProvincia=Castelló ]
Provincia [Nombre=Ceuta, Municipios=1 , CapitalProvincia=Ceuta ]
Provincia [Nombre=Ciudad Real, Municipios=1 , CapitalProvincia=Ciudad Real ]
Provincia [Nombre=Cuenca, Municipios=1 , CapitalProvincia=Cuenca ]
Provincia [Nombre=Cáceres, Municipios=1 , CapitalProvincia=Cáceres ]
Provincia [Nombre=Cádiz, Municipios=1 , CapitalProvincia=Cádiz ]
Provincia [Nombre=Córdoba, Municipios=1 , CapitalProvincia=Córdoba ]
Provincia [Nombre=Gipuzcoa, Municipios=1 , CapitalProvincia=Gipuzcoa ]
Provincia [Nombre=Girona, Municipios=1 , CapitalProvincia=Girona ]
Provincia [Nombre=Granada, Municipios=1 , CapitalProvincia=Granada ]
Provincia [Nombre=Guadalajara, Municipios=1 , CapitalProvincia=Guadalajara ]
Provincia [Nombre=Huelva, Municipios=1 , CapitalProvincia=Huelva ]
Provincia [Nombre=Huesca, Municipios=1 , CapitalProvincia=Huesca ]
Provincia [Nombre=Illes Balears, Municipios=1 , CapitalProvincia=Illes Balears ]
Provincia [Nombre=Jaén, Municipios=1 , CapitalProvincia=Jaén ]
Provincia [Nombre=La Rioja, Municipios=1 , CapitalProvincia=La Rioja ]
Provincia [Nombre=Las Palmas, Municipios=1 , CapitalProvincia=Las Palmas ]
Provincia [Nombre=León, Municipios=1 , CapitalProvincia=León ]
Provincia [Nombre=Lleida, Municipios=1 , CapitalProvincia=Lleida ]
Provincia [Nombre=Lugo, Municipios=1 , CapitalProvincia=Lugo ]
Provincia [Nombre=Madrid, Municipios=1 , CapitalProvincia=Madrid ]
Provincia [Nombre=Melilla, Municipios=1 , CapitalProvincia=Melilla ]
Provincia [Nombre=Murcia, Municipios=1 , CapitalProvincia=Murcia ]
Provincia [Nombre=Málaga, Municipios=1 , CapitalProvincia=Málaga ]
Provincia [Nombre=Navarra, Municipios=1 , CapitalProvincia=Navarra ]
Provincia [Nombre=Ourense, Municipios=1 , CapitalProvincia=Ourense ]
Provincia [Nombre=Palencia, Municipios=1 , CapitalProvincia=Palencia ]
Provincia [Nombre=Pontevedra, Municipios=1 , CapitalProvincia=Pontevedra ]
Provincia [Nombre=Salamanca, Municipios=1 , CapitalProvincia=Salamanca ]
Provincia [Nombre=Santa Cruz de Tenerife, Municipios=1 , CapitalProvincia=Santa Cruz de Tenerife ]
Provincia [Nombre=Segovia, Municipios=1 , CapitalProvincia=Segovia ]
Provincia [Nombre=Sevilla, Municipios=1 , CapitalProvincia=Sevilla ]
Provincia [Nombre=Soria, Municipios=1 , CapitalProvincia=Soria ]
Provincia [Nombre=Tarragona, Municipios=1 , CapitalProvincia=Tarragona ]
Provincia [Nombre=Teruel, Municipios=1 , CapitalProvincia=Teruel ]
Provincia [Nombre=Toledo, Municipios=1 , CapitalProvincia=Toledo ]
Provincia [Nombre=Valladolid, Municipios=1 , CapitalProvincia=Valladolid ]
Provincia [Nombre=València, Municipios=1 , CapitalProvincia=València ]
Provincia [Nombre=Zamora, Municipios=1 , CapitalProvincia=Zamora ]
Provincia [Nombre=Zaragoza, Municipios=1 , CapitalProvincia=Zaragoza ]
Provincia [Nombre=Ávila, Municipios=1 , CapitalProvincia=Ávila ]
