
Top 10 Canciones de 2020 + Recaudacion de cada una

Nombre Cancion: ‘Tusa’ | Autor / Autores:  KAROL G con Nicki Minaj | Visualizaciones: 1000000 | Recaudacion 2000000
Nombre Cancion: ‘Se iluminaba’ | Autor / Autores:  Fred De Palma y Ana Mena | Visualizaciones: 2000000 | Recaudacion 4000000
Nombre Cancion: ‘La Jeepeta | Autor / Autores:  Nio Garcia, Anuel AA, Myke Towers, Brray y Juanka | Visualizaciones: 3000000 | Recaudacion 6000000
Nombre Cancion: ‘Caramelo’ | Autor / Autores:  Jay Wheeler, DJ Nelson y Myke Towers | Visualizaciones: 5000000 | Recaudacion 10000000
Nombre Cancion: ‘Mil Tequilas’ | Autor / Autores:  Chema Rivas  | Visualizaciones: 6000000 | Recaudacion 12000000
Nombre Cancion: ‘Morado’ | Autor / Autores:  J Balvin | Visualizaciones: 10000000 | Recaudacion 20000000
Nombre Cancion: ‘Safaera’ | Autor / Autores:  Bad Bunny, Jowell Randy y Ñengo Flow | Visualizaciones: 7500000 | Recaudacion 15000000
Nombre Cancion: ‘Relación’ | Autor / Autores:  Sech | Visualizaciones: 1000000 | Recaudacion 2000000
Nombre Cancion: ‘Dance Monkey’ | Autor / Autores:  Tones And I | Visualizaciones: 10000000 | Recaudacion 20000000

Top 10 Canciones de 2021 + Recaudacion de cada una

Nombre Cancion: ‘Tusa’ | Autor / Autores:  KAROL G con Nicki Minaj | Visualizaciones: 1000000 | Recaudacion 2000000
Nombre Cancion: ‘Se iluminaba’ | Autor / Autores:  Fred De Palma y Ana Mena | Visualizaciones: 2000000 | Recaudacion 4000000
Nombre Cancion: ‘La Jeepeta | Autor / Autores:  Nio Garcia, Anuel AA, Myke Towers, Brray y Juanka | Visualizaciones: 3000000 | Recaudacion 6000000
Nombre Cancion: ‘Caramelo’ | Autor / Autores:  Jay Wheeler, DJ Nelson y Myke Towers | Visualizaciones: 5000000 | Recaudacion 10000000
Nombre Cancion: ‘Mil Tequilas’ | Autor / Autores:  Chema Rivas  | Visualizaciones: 6000000 | Recaudacion 12000000
Nombre Cancion: ‘Morado’ | Autor / Autores:  J Balvin | Visualizaciones: 10000000 | Recaudacion 20000000
Nombre Cancion: ‘Safaera’ | Autor / Autores:  Bad Bunny, Jowell Randy y Ñengo Flow | Visualizaciones: 7500000 | Recaudacion 15000000
Nombre Cancion: ‘Relación’ | Autor / Autores:  Sech | Visualizaciones: 1000000 | Recaudacion 2000000
Nombre Cancion: ‘Dance Monkey’ | Autor / Autores:  Tones And I | Visualizaciones: 10000000 | Recaudacion 20000000

Top 10 artistas de 2020

Artista: Bad Gyal| Nombre: Bad Gyal
Artista: Beret| Nombre: Beret
Artista: Aitana| Nombre: Aitana
Artista: Omar Montes| Nombre: Omar Montes
Artista: Rosalía| Nombre: Rosalía
Artista: Rvfv| Nombre: Rvfv
Artista: Lérica| Nombre: Lérica
Artista: C. Tangana| Nombre: C. Tangana
Artista: Juan Magán| Nombre: Juan Magán
Artista: Ana Mena| Nombre: Ana Mena

Top 10 artistas de 2021

Artista: Rauw Alejandro| Nombre: Rauw Alejandro
Artista: Bad Bunny| Nombre: Bad Bunny
Artista: Myke Towers| Nombre: Myke Towers
Artista: J Balvin| Nombre: J Balvin
Artista: Anuel AA| Nombre: Anuel AA
Artista: Aitana| Nombre: Aitana
Artista: KAROL G| Nombre: KAROL G
Artista: María Becerra| Nombre: María Becerra
Artista: Dua Lipa| Nombre: Dua Lipa
Artista: Nicki Nicole| Nombre: Nicki Nicole
